,cand_pcc,cand_name,cand_office,cand_office_st,cand_office_district,cand_election_yr,from_dates,through_dates,committee_total,actblue_total,percent
988,C00660498,"HARTSON, ALISON",S,CA,00,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 5, 17), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1)]","[datetime.date(2018, 5, 16), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31)]",423952.55,422866.55,0.9974383925748295
477,C00638775,"JAFFE, STEPHEN R",H,CA,12,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 1, 1), datetime.date(2018, 5, 17), datetime.date(2018, 1, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 5, 16), datetime.date(2018, 9, 30), datetime.date(2017, 6, 30), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31)]",82086.59,81828.59,0.996856977491695
1110,C00666222,"MANNING, CHELSEA ELIZABETH",S,MD,00,2018,"[datetime.date(2018, 6, 7), datetime.date(2018, 7, 1), datetime.date(2018, 10, 18), datetime.date(2018, 4, 1), datetime.date(2018, 10, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 11, 26), datetime.date(2018, 6, 6), datetime.date(2018, 10, 17), datetime.date(2018, 3, 31)]",80618.83,80361.83,0.996812159144458
368,C00634683,"HILDEBRANDT, LORI MADELINE",H,NM,02,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 5, 17), datetime.date(2017, 7, 1), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2017, 1, 1)]","[datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30), datetime.date(2018, 5, 16), datetime.date(2017, 3, 31)]",221050.51,219384.11,0.9924614514574066
833,C00653915,"TREVINO, RICARDO JOSE JR",H,TX,23,2018,"[datetime.date(2018, 5, 3), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2017, 7, 1), datetime.date(2018, 2, 15)]","[datetime.date(2018, 6, 30), datetime.date(2018, 2, 14), datetime.date(2017, 12, 31), datetime.date(2018, 5, 2), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31)]",40944.77,40604.85,0.9916980850057285
608,C00647313,"VAID, OMAR M",H,NY,11,2018,"[datetime.date(2018, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 1, 1), datetime.date(2018, 6, 7), datetime.date(2017, 7, 1), datetime.date(2017, 4, 1)]","[datetime.date(2018, 6, 6), datetime.date(2017, 12, 31), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2017, 9, 30), datetime.date(2017, 6, 30)]",96896.17,95236.16,0.9828681567083611
398,C00636381,"HEPBURN, MICHAEL A.",H,FL,27,2018,"[datetime.date(2017, 1, 23), datetime.date(2017, 10, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 8, 9)]","[datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2017, 9, 30), datetime.date(2018, 8, 8), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 9, 30)]",33819.9,32980.75,0.9751876853568461
303,C00629774,"CAMPOVERDI, ALEJANDRA",H,CA,34,2018,"[datetime.date(2017, 4, 1), datetime.date(2017, 4, 25), datetime.date(2017, 1, 1), datetime.date(2017, 3, 16)]","[datetime.date(2017, 4, 24), datetime.date(2017, 5, 23), datetime.date(2017, 3, 15), datetime.date(2017, 3, 31)]",240804.24,232962.24,0.9674341282362803
1136,C00667576,"FRENETTE, KYLE",H,WI,07,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 12, 6)]","[datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31)]",236665.52,227090.52,0.9595420574995462
542,C00640557,"KENNEDY, ROBERT JR",S,AL,00,2018,"[datetime.date(2017, 7, 1), datetime.date(2017, 7, 27), datetime.date(2017, 10, 1), datetime.date(2017, 4, 1)]","[datetime.date(2017, 7, 26), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2017, 6, 30)]",20423.83,19584.99,0.9589283694586177
